workerid,condition,vignette,item_type,response,rt,stimulus,trial_index
648,honest,printing,vignette,0,17910,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided, but that he sometimes does it anyway. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",8
648,honest,printing,trustworthy,28,3242,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,9
648,honest,printing,honest,29,3600,<p>How <b>honest</b> do you think Kevin is?<p><br>,10
648,honest,printing,hypocritical,91,4086,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,11
648,honest,printing,good,56,3164,<p>How <b>good a person</b> do you think Kevin is?</p><br>,12
648,honest,printing,like,50,3062,<p>How much do you <b>like</b> Kevin?</p><br>,13
648,honest,phone,vignette,0,14632,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Bruce says that he thinks it is morally wrong to ignore your mother's phone calls, but that he sometimes does it anyway. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",14
648,honest,phone,hypocritical,97,7273,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,15
648,honest,phone,trustworthy,45,5344,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,16
648,honest,phone,honest,46,5678,<p>How <b>honest</b> do you think Bruce is?</p><br>,17
648,honest,phone,like,5,4429,<p>How much do you <b>like</b> Bruce?</p><br>,18
648,honest,phone,good,40,4606,<p>How <b>good a person</b> do you think Bruce is?</p><br>,19
648,honest,jury,vignette,0,8618,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty, but that she sometimes does it anyway. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",20
648,honest,jury,good,67,3418,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,21
648,honest,jury,honest,58,7616,<p>How <b>honest</b> do you think Jennifer is?</p><br>,22
648,honest,jury,trustworthy,30,5120,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,23
648,honest,jury,hypocritical,44,3901,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,24
648,honest,jury,like,54,3654,<p>How much do you <b>like</b> Jennifer?</p><br>,25
379,transgressor,jury,vignette,0,4400,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",2
379,transgressor,jury,honest,36,32250,<p>How <b>honest</b> do you think Jennifer is?</p><br>,3
379,transgressor,jury,trustworthy,55,3065,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,4
379,transgressor,jury,like,60,3733,<p>How much do you <b>like</b> Jennifer?</p><br>,5
379,transgressor,jury,hypocritical,71,3901,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,6
379,transgressor,jury,good,56,5940,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,7
379,transgressor,music,vignette,0,14923,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",8
379,transgressor,music,trustworthy,37,4380,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,9
379,transgressor,music,hypocritical,78,2999,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,10
379,transgressor,music,good,50,3320,<p>How <b>good a person</b> do you think Becky is?</p><br>,11
379,transgressor,music,honest,25,3500,<p>How <b>honest</b> do you think Becky is?</p><br>,12
379,transgressor,music,like,56,2840,<p>How much do you <b>like</b> Becky?</p><br>,13
379,transgressor,printing,vignette,0,36428,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",14
379,transgressor,printing,trustworthy,62,3179,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,15
379,transgressor,printing,like,33,2360,<p>How much do you <b>like</b> Kevin?</p><br>,16
379,transgressor,printing,good,64,1819,<p>How <b>good a person</b> do you think Kevin is?</p><br>,17
379,transgressor,printing,hypocritical,71,1619,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,18
379,transgressor,printing,honest,67,2201,<p>How <b>honest</b> do you think Kevin is?<p><br>,19
379,transgressor,phone,vignette,0,5282,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",20
379,transgressor,phone,trustworthy,24,1830,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,21
379,transgressor,phone,like,0,2410,<p>How much do you <b>like</b> Bruce?</p><br>,22
379,transgressor,phone,hypocritical,95,2299,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,23
379,transgressor,phone,honest,23,2040,<p>How <b>honest</b> do you think Bruce is?</p><br>,24
379,transgressor,phone,good,20,2119,<p>How <b>good a person</b> do you think Bruce is?</p><br>,25
315,traditional,printing,vignette,0,19519,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",2
315,traditional,printing,like,24,3969,<p>How much do you <b>like</b> Kevin?</p><br>,3
315,traditional,printing,honest,14,5793,<p>How <b>honest</b> do you think Kevin is?<p><br>,4
315,traditional,printing,good,40,2103,<p>How <b>good a person</b> do you think Kevin is?</p><br>,5
315,traditional,printing,trustworthy,43,1979,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,6
315,traditional,printing,hypocritical,81,3969,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,7
315,traditional,music,vignette,0,13365,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Becky says that she thinks it is morally wrong to download music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",8
315,traditional,music,good,45,3369,<p>How <b>good a person</b> do you think Becky is?</p><br>,9
315,traditional,music,trustworthy,44,3086,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,10
315,traditional,music,honest,56,7555,<p>How <b>honest</b> do you think Becky is?</p><br>,11
315,traditional,music,hypocritical,13,6691,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,12
315,traditional,music,like,54,2026,<p>How much do you <b>like</b> Becky?</p><br>,13
315,traditional,phone,vignette,0,26462,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Bruce says that he thinks it is morally wrong to ignore your mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",14
315,traditional,phone,hypocritical,85,2600,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,15
315,traditional,phone,trustworthy,45,1885,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,16
315,traditional,phone,honest,36,2372,<p>How <b>honest</b> do you think Bruce is?</p><br>,17
315,traditional,phone,like,45,1729,<p>How much do you <b>like</b> Bruce?</p><br>,18
315,traditional,phone,good,45,2163,<p>How <b>good a person</b> do you think Bruce is?</p><br>,19
315,traditional,jury,vignette,0,22565,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p>",20
315,traditional,jury,honest,36,5050,<p>How <b>honest</b> do you think Jennifer is?</p><br>,21
315,traditional,jury,like,35,1869,<p>How much do you <b>like</b> Jennifer?</p><br>,22
315,traditional,jury,trustworthy,38,1640,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,23
315,traditional,jury,good,42,1896,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,24
315,traditional,jury,hypocritical,78,2907,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,25
344,honest,printing,vignette,0,21330,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided, but that he sometimes does it anyway. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",2
344,honest,printing,hypocritical,69,6563,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,3
344,honest,printing,trustworthy,34,4198,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,4
344,honest,printing,honest,78,4380,<p>How <b>honest</b> do you think Kevin is?<p><br>,5
344,honest,printing,like,43,4098,<p>How much do you <b>like</b> Kevin?</p><br>,6
344,honest,printing,good,42,5714,<p>How <b>good a person</b> do you think Kevin is?</p><br>,7
344,honest,music,vignette,0,10777,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Becky says that she thinks it is morally wrong to download music illegally from the Internet, but that she sometimes does it anyway. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",8
344,honest,music,trustworthy,39,2431,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,9
344,honest,music,like,37,3798,<p>How much do you <b>like</b> Becky?</p><br>,10
344,honest,music,hypocritical,78,3464,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,11
344,honest,music,honest,71,3254,<p>How <b>honest</b> do you think Becky is?</p><br>,12
344,honest,music,good,45,3043,<p>How <b>good a person</b> do you think Becky is?</p><br>,13
344,honest,jury,vignette,0,11397,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty, but that she sometimes does it anyway. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",14
344,honest,jury,honest,58,3632,<p>How <b>honest</b> do you think Jennifer is?</p><br>,15
344,honest,jury,like,49,3263,<p>How much do you <b>like</b> Jennifer?</p><br>,16
344,honest,jury,good,50,2849,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,17
344,honest,jury,hypocritical,63,3681,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,18
344,honest,jury,trustworthy,45,2430,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,19
344,honest,phone,vignette,0,10697,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Bruce says that he thinks it is morally wrong to ignore your mother's phone calls, but that he sometimes does it anyway. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",20
344,honest,phone,honest,73,4150,<p>How <b>honest</b> do you think Bruce is?</p><br>,21
344,honest,phone,trustworthy,51,1981,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,22
344,honest,phone,hypocritical,65,2814,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,23
344,honest,phone,good,47,2398,<p>How <b>good a person</b> do you think Bruce is?</p><br>,24
344,honest,phone,like,30,4481,<p>How much do you <b>like</b> Bruce?</p><br>,25
401,transgressor,phone,vignette,0,73143,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",2
401,transgressor,phone,trustworthy,31,11046,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,3
401,transgressor,phone,honest,28,46696,<p>How <b>honest</b> do you think Bruce is?</p><br>,4
401,transgressor,phone,hypocritical,71,2180,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,5
401,transgressor,phone,good,36,3487,<p>How <b>good a person</b> do you think Bruce is?</p><br>,6
401,transgressor,phone,like,43,2192,<p>How much do you <b>like</b> Bruce?</p><br>,7
401,transgressor,printing,vignette,0,18999,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",8
401,transgressor,printing,hypocritical,66,8938,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,9
401,transgressor,printing,good,43,3052,<p>How <b>good a person</b> do you think Kevin is?</p><br>,10
401,transgressor,printing,trustworthy,43,2390,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,11
401,transgressor,printing,like,22,3948,<p>How much do you <b>like</b> Kevin?</p><br>,12
401,transgressor,printing,honest,37,2923,<p>How <b>honest</b> do you think Kevin is?<p><br>,13
401,transgressor,music,vignette,0,8472,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",14
401,transgressor,music,good,50,5544,<p>How <b>good a person</b> do you think Becky is?</p><br>,15
401,transgressor,music,like,57,3608,<p>How much do you <b>like</b> Becky?</p><br>,16
401,transgressor,music,honest,44,2806,<p>How <b>honest</b> do you think Becky is?</p><br>,17
401,transgressor,music,hypocritical,49,3793,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,18
401,transgressor,music,trustworthy,51,1945,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,19
401,transgressor,jury,vignette,0,35186,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",20
401,transgressor,jury,hypocritical,65,2237,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,21
401,transgressor,jury,trustworthy,39,1766,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,22
401,transgressor,jury,like,40,1901,<p>How much do you <b>like</b> Jennifer?</p><br>,23
401,transgressor,jury,good,35,2477,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,24
401,transgressor,jury,honest,37,2096,<p>How <b>honest</b> do you think Jennifer is?</p><br>,25
383,transgressor,phone,vignette,0,23731,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",2
383,transgressor,phone,good,41,8090,<p>How <b>good a person</b> do you think Bruce is?</p><br>,3
383,transgressor,phone,trustworthy,37,5842,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,4
383,transgressor,phone,honest,40,3295,<p>How <b>honest</b> do you think Bruce is?</p><br>,5
383,transgressor,phone,like,48,2332,<p>How much do you <b>like</b> Bruce?</p><br>,6
383,transgressor,phone,hypocritical,35,4100,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,7
383,transgressor,music,vignette,0,13368,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",8
383,transgressor,music,hypocritical,17,6681,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,9
383,transgressor,music,trustworthy,50,2233,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,10
383,transgressor,music,good,50,1765,<p>How <b>good a person</b> do you think Becky is?</p><br>,11
383,transgressor,music,like,50,2046,<p>How much do you <b>like</b> Becky?</p><br>,12
383,transgressor,music,honest,50,2152,<p>How <b>honest</b> do you think Becky is?</p><br>,13
383,transgressor,jury,vignette,0,11178,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",14
383,transgressor,jury,honest,28,4138,<p>How <b>honest</b> do you think Jennifer is?</p><br>,15
383,transgressor,jury,hypocritical,34,4263,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,16
383,transgressor,jury,trustworthy,39,2330,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,17
383,transgressor,jury,good,50,1841,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,18
383,transgressor,jury,like,50,1683,<p>How much do you <b>like</b> Jennifer?</p><br>,19
383,transgressor,printing,vignette,0,9606,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",20
383,transgressor,printing,good,50,2977,<p>How <b>good a person</b> do you think Kevin is?</p><br>,21
383,transgressor,printing,like,50,1482,<p>How much do you <b>like</b> Kevin?</p><br>,22
383,transgressor,printing,honest,50,1945,<p>How <b>honest</b> do you think Kevin is?<p><br>,23
383,transgressor,printing,trustworthy,50,1992,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,24
383,transgressor,printing,hypocritical,9,2865,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,25
404,transgressor,music,vignette,0,7067,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",2
404,transgressor,music,honest,100,5532,<p>How <b>honest</b> do you think Becky is?</p><br>,3
404,transgressor,music,hypocritical,51,3998,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,4
404,transgressor,music,like,57,3566,<p>How much do you <b>like</b> Becky?</p><br>,5
404,transgressor,music,good,45,2769,<p>How <b>good a person</b> do you think Becky is?</p><br>,6
404,transgressor,music,trustworthy,44,2812,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,7
404,transgressor,printing,vignette,0,21400,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",8
404,transgressor,printing,like,43,5314,<p>How much do you <b>like</b> Kevin?</p><br>,9
404,transgressor,printing,trustworthy,33,2966,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,10
404,transgressor,printing,good,35,2566,<p>How <b>good a person</b> do you think Kevin is?</p><br>,11
404,transgressor,printing,honest,61,4849,<p>How <b>honest</b> do you think Kevin is?<p><br>,12
404,transgressor,printing,hypocritical,68,3300,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,13
404,transgressor,phone,vignette,0,8665,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",14
404,transgressor,phone,hypocritical,5,2749,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,15
404,transgressor,phone,honest,90,2382,<p>How <b>honest</b> do you think Bruce is?</p><br>,16
404,transgressor,phone,good,50,4333,<p>How <b>good a person</b> do you think Bruce is?</p><br>,17
404,transgressor,phone,trustworthy,70,5883,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,18
404,transgressor,phone,like,52,3682,<p>How much do you <b>like</b> Bruce?</p><br>,19
404,transgressor,jury,vignette,0,20767,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",20
404,transgressor,jury,honest,36,4765,<p>How <b>honest</b> do you think Jennifer is?</p><br>,21
404,transgressor,jury,like,44,5516,<p>How much do you <b>like</b> Jennifer?</p><br>,22
404,transgressor,jury,trustworthy,40,4933,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,23
404,transgressor,jury,hypocritical,69,3566,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,24
404,transgressor,jury,good,48,2332,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,25
365,honest,music,vignette,0,99173,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Becky says that she thinks it is morally wrong to download music illegally from the Internet, but that she sometimes does it anyway. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",2
365,honest,music,honest,49,13430,<p>How <b>honest</b> do you think Becky is?</p><br>,3
365,honest,music,trustworthy,63,3736,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,4
365,honest,music,hypocritical,63,2872,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,5
365,honest,music,good,63,1908,<p>How <b>good a person</b> do you think Becky is?</p><br>,6
365,honest,music,like,63,2221,<p>How much do you <b>like</b> Becky?</p><br>,7
365,honest,printing,vignette,0,56218,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided, but that he sometimes does it anyway. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",8
365,honest,printing,trustworthy,12,6810,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,9
365,honest,printing,like,16,5149,<p>How much do you <b>like</b> Kevin?</p><br>,10
365,honest,printing,honest,100,5006,<p>How <b>honest</b> do you think Kevin is?<p><br>,11
365,honest,printing,good,7,2849,<p>How <b>good a person</b> do you think Kevin is?</p><br>,12
365,honest,printing,hypocritical,22,10806,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,13
365,honest,jury,vignette,0,17475,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty, but that she sometimes does it anyway. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",14
365,honest,jury,like,13,5528,<p>How much do you <b>like</b> Jennifer?</p><br>,15
365,honest,jury,trustworthy,0,2693,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,16
365,honest,jury,hypocritical,6,2570,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,17
365,honest,jury,honest,7,2157,<p>How <b>honest</b> do you think Jennifer is?</p><br>,18
365,honest,jury,good,14,1936,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,19
365,honest,phone,vignette,0,14418,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Bruce says that he thinks it is morally wrong to ignore your mother's phone calls, but that he sometimes does it anyway. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",20
365,honest,phone,hypocritical,15,4823,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,21
365,honest,phone,trustworthy,6,2310,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,22
365,honest,phone,good,8,3794,<p>How <b>good a person</b> do you think Bruce is?</p><br>,23
365,honest,phone,like,5,1273,<p>How much do you <b>like</b> Bruce?</p><br>,24
365,honest,phone,honest,7,6527,<p>How <b>honest</b> do you think Bruce is?</p><br>,25
298,transgressor,music,vignette,0,1767,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",2
298,transgressor,music,hypocritical,71,13372,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,3
298,transgressor,music,trustworthy,74,5889,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,4
298,transgressor,music,good,75,3838,<p>How <b>good a person</b> do you think Becky is?</p><br>,5
298,transgressor,music,like,34,7113,<p>How much do you <b>like</b> Becky?</p><br>,6
298,transgressor,music,honest,51,138075,<p>How <b>honest</b> do you think Becky is?</p><br>,7
