workerid,proliferate.condition,ask,correct,failed_audio,failed_images,failed_video,group,internal_node_id,left,response,right,rt,stimulus,success,time_elapsed,timeout,trial_index,trial_type,type,error
14,long,,,,,,,0.0-8.0-2.87,,,,,,,252033,,299,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.88,,,,,"<div style=""font-size:60px;"">+</div>",,252734,,300,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.88,Big-visSmall/12_13.jpg,m,Small-visBig/12_58.jpg,533,"
            <img src=""Big-visSmall/12_13.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/12_58.jpg"" style=""margin-left: 50px"">
            ",,253269,,301,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.88,,,,,,,254170,,302,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.89,,,,,"<div style=""font-size:60px;"">+</div>",,254872,,303,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.89,Big-visBig/30_20.jpg,c,Small-visSmall/undefined,35569,"
            <img src=""Big-visBig/30_20.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/undefined"" style=""margin-left: 50px"">
            ",,290441,,304,html-keyboard-response,congruent,
14,long,,,,,,,0.0-8.0-2.89,,,,,,,291343,,305,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.90,,,,,"<div style=""font-size:60px;"">+</div>",,292044,,306,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.90,Small-visSmall/16_73.jpg,m,Big-visBig/15_29.jpg,1880,"
            <img src=""Small-visSmall/16_73.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/15_29.jpg"" style=""margin-left: 50px"">
            ",,293926,,307,html-keyboard-response,congruent,
14,long,,,,,,,0.0-8.0-2.90,,,,,,,294827,,308,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.91,,,,,"<div style=""font-size:60px;"">+</div>",,295529,,309,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.91,Small-visSmall/03_57.jpg,m,Big-visBig/03_36.jpg,906,"
            <img src=""Small-visSmall/03_57.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/03_36.jpg"" style=""margin-left: 50px"">
            ",,296436,,310,html-keyboard-response,congruent,
14,long,,,,,,,0.0-8.0-2.91,,,,,,,297337,,311,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.92,,,,,"<div style=""font-size:60px;"">+</div>",,298038,,312,html-keyboard-response,,
14,long,big,False,,,,preset,0.0-8.0-1.92,Small-visBig/14_67.jpg,m,Big-visSmall/14_34.jpg,490,"
            <img src=""Small-visBig/14_67.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visSmall/14_34.jpg"" style=""margin-left: 50px"">
            ",,298530,,313,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.92,,,,,"<div style=""font-size:60px; color:#FF0000""><p>Incorrect!</p></div>",,303531,,314,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.93,,,,,"<div style=""font-size:60px;"">+</div>",,304232,,315,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.93,Big-visSmall/30_20.jpg,m,Small-visBig/undefined,11855,"
            <img src=""Big-visSmall/30_20.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/undefined"" style=""margin-left: 50px"">
            ",,316090,,316,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.93,,,,,,,316990,,317,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.94,,,,,"<div style=""font-size:60px;"">+</div>",,317692,,318,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.94,Small-visSmall/18_76.jpg,m,Big-visBig/17_21.jpg,2892,"
            <img src=""Small-visSmall/18_76.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/17_21.jpg"" style=""margin-left: 50px"">
            ",,320589,,319,html-keyboard-response,congruent,
14,long,,,,,,,0.0-8.0-2.94,,,,,,,321491,,320,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.95,,,,,"<div style=""font-size:60px;"">+</div>",,322192,,321,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.95,Small-visBig/undefined,c,Big-visSmall/30_20.jpg,6696,"
            <img src=""Small-visBig/undefined"" style=""margin-right: 50px""> 
            <img src=""Big-visSmall/30_20.jpg"" style=""margin-left: 50px"">
            ",,328889,,322,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.95,,,,,,,329791,,323,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.96,,,,,"<div style=""font-size:60px;"">+</div>",,330491,,324,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.96,Small-visBig/04_48.jpg,c,Big-visSmall/04_05.jpg,876,"
            <img src=""Small-visBig/04_48.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visSmall/04_05.jpg"" style=""margin-left: 50px"">
            ",,331369,,325,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.96,,,,,,,332269,,326,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.97,,,,,"<div style=""font-size:60px;"">+</div>",,332970,,327,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.97,Big-visSmall/10_09.jpg,m,Small-visBig/10_59.jpg,570,"
            <img src=""Big-visSmall/10_09.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/10_59.jpg"" style=""margin-left: 50px"">
            ",,333541,,328,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.97,,,,,,,334442,,329,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.98,,,,,"<div style=""font-size:60px;"">+</div>",,335143,,330,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.98,Small-visBig/25_56.jpg,c,Big-visSmall/24_06.jpg,584,"
            <img src=""Small-visBig/25_56.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visSmall/24_06.jpg"" style=""margin-left: 50px"">
            ",,335728,,331,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.98,,,,,,,336629,,332,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.99,,,,,"<div style=""font-size:60px;"">+</div>",,337329,,333,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.99,Big-visBig/16_28.jpg,c,Small-visSmall/17_80.jpg,574,"
            <img src=""Big-visBig/16_28.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/17_80.jpg"" style=""margin-left: 50px"">
            ",,337903,,334,html-keyboard-response,congruent,
14,long,,,,,,,0.0-8.0-2.99,,,,,,,338805,,335,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.100,,,,,"<div style=""font-size:60px;"">+</div>",,339506,,336,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.100,Big-visSmall/14_34.jpg,m,Small-visBig/15_72.jpg,551,"
            <img src=""Big-visSmall/14_34.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/15_72.jpg"" style=""margin-left: 50px"">
            ",,340060,,337,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.100,,,,,,,340961,,338,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.101,,,,,"<div style=""font-size:60px;"">+</div>",,341662,,339,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.101,Big-visSmall/06_02.jpg,m,Small-visBig/06_43.jpg,797,"
            <img src=""Big-visSmall/06_02.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/06_43.jpg"" style=""margin-left: 50px"">
            ",,342460,,340,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.101,,,,,,,343361,,341,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.102,,,,,"<div style=""font-size:60px;"">+</div>",,344062,,342,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.102,Small-visSmall/11_71.jpg,m,Big-visBig/11_40.jpg,455,"
            <img src=""Small-visSmall/11_71.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/11_40.jpg"" style=""margin-left: 50px"">
            ",,344519,,343,html-keyboard-response,congruent,
14,long,,,,,,,0.0-8.0-2.102,,,,,,,345420,,344,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.103,,,,,"<div style=""font-size:60px;"">+</div>",,346121,,345,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.103,Small-visSmall/01_78.jpg,m,Big-visBig/01_07.jpg,497,"
            <img src=""Small-visSmall/01_78.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/01_07.jpg"" style=""margin-left: 50px"">
            ",,346619,,346,html-keyboard-response,congruent,
14,long,,,,,,,0.0-8.0-2.103,,,,,,,347521,,347,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.104,,,,,"<div style=""font-size:60px;"">+</div>",,348222,,348,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.104,Small-visBig/12_58.jpg,c,Big-visSmall/12_13.jpg,673,"
            <img src=""Small-visBig/12_58.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visSmall/12_13.jpg"" style=""margin-left: 50px"">
            ",,348896,,349,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-8.0-2.104,,,,,,,349797,,350,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.105,,,,,"<div style=""font-size:60px;"">+</div>",,350499,,351,html-keyboard-response,,
14,long,big,True,,,,preset,0.0-8.0-1.105,Big-visBig/28_12.jpg,c,Small-visSmall/29_69.jpg,473,"
            <img src=""Big-visBig/28_12.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/29_69.jpg"" style=""margin-left: 50px"">
            ",,350972,,352,html-keyboard-response,congruent,
14,long,,,,,,,0.0-8.0-2.105,,,,,,,351874,,353,html-keyboard-response,,
14,long,,,,,,,0.0-8.0-0.106,,,,,"<div style=""font-size:60px;"">+</div>",,352574,,354,html-keyboard-response,,
